,Test,Ct_values,Date,sample_id
0,Target 1,38.22,2023-05-31,1
1,Target 2,41.98,2023-05-31,1
2,Extraction control,28.07,2023-05-31,1
3,Normalization factor,22.27,2023-05-31,1
4,Target 1,34.22,2023-06-07,1
5,Target 2,37.4,2023-06-07,1
6,Extraction control,27.73,2023-06-07,1
7,Normalization factor,22.47,2023-06-07,1
8,Target 1,31.06,2023-06-14,1
9,Target 2,33.98,2023-06-14,1
10,Extraction control,28.29,2023-06-14,1
11,Normalization factor,23.64,2023-06-14,1
12,Target 1,33.67,2023-06-21,1
13,Target 2,34.84,2023-06-21,1
14,Extraction control,28.34,2023-06-21,1
15,Normalization factor,23.06,2023-06-21,1
16,Target 1,37.39,2023-06-28,1
17,Target 2,36.75,2023-06-28,1
18,Extraction control,27.27,2023-06-28,1
19,Normalization factor,24.48,2023-06-28,1
20,Target 1,35.36,2023-07-06,1
21,Target 2,36.28,2023-07-06,1
22,Extraction control,28.66,2023-07-06,1
23,Normalization factor,24.6,2023-07-06,1
24,Target 1,35.4,2023-07-12,1
25,Target 2,38.67,2023-07-12,1
26,Extraction control,26.94,2023-07-12,1
27,Normalization factor,22.35,2023-07-12,1
28,Target 1,30.77,2023-07-19,1
29,Target 2,32.2,2023-07-19,1
30,Extraction control,26.61,2023-07-19,1
31,Normalization factor,22.78,2023-07-19,1
32,Target 1,33.52,2023-07-26,1
33,Target 2,33.17,2023-07-26,1
34,Extraction control,29.22,2023-07-26,1
35,Normalization factor,25.68,2023-07-26,1
36,Target 1,32.99,2023-08-02,1
37,Target 2,34.12,2023-08-02,1
38,Extraction control,28.58,2023-08-02,1
39,Normalization factor,24.92,2023-08-02,1
40,Target 1,38.22,2023-08-09,1
41,Target 2,39.1,2023-08-09,1
42,Extraction control,28.15,2023-08-09,1
43,Normalization factor,24.76,2023-08-09,1
44,Target 1,34.17,2023-08-16,1
45,Target 2,39.78,2023-08-16,1
46,Extraction control,26.57,2023-08-16,1
47,Normalization factor,24.09,2023-08-16,1
48,Target 1,41.51,2023-08-23,1
49,Target 2,ND,2023-08-23,1
50,Extraction control,30.22,2023-08-23,1
51,Normalization factor,25.89,2023-08-23,1
52,Target 1,36.32,2023-08-30,1
53,Target 2,38.98,2023-08-30,1
54,Extraction control,28.45,2023-08-30,1
55,Normalization factor,23.88,2023-08-30,1
56,Target 1,34.52,2023-09-06,1
57,Target 2,36.69,2023-09-06,1
58,Extraction control,29.96,2023-09-06,1
59,Normalization factor,23.51,2023-09-06,1
60,Target 1,37.3,2023-09-13,1
61,Target 2,ND,2023-09-13,1
62,Extraction control,30.22,2023-09-13,1
63,Normalization factor,26.26,2023-09-13,1
64,Target 1,33.48,2023-09-20,1
65,Target 2,35.1,2023-09-20,1
66,Extraction control,27.63,2023-09-20,1
67,Normalization factor,24.37,2023-09-20,1
68,Target 1,36.2,2023-09-27,1
69,Target 2,41.55,2023-09-27,1
70,Extraction control,27.69,2023-09-27,1
71,Normalization factor,24.5,2023-09-27,1
72,Target 1,32.11,2023-10-04,1
73,Target 2,33.94,2023-10-04,1
74,Extraction control,27.74,2023-10-04,1
75,Normalization factor,23.4,2023-10-04,1
76,Target 1,34.01,2023-10-11,1
77,Target 2,36.28,2023-10-11,1
78,Extraction control,25.66,2023-10-11,1
79,Normalization factor,23.57,2023-10-11,1
80,Target 1,32.08,2023-10-18,1
81,Target 2,33.95,2023-10-18,1
82,Extraction control,25.45,2023-10-18,1
83,Normalization factor,22.55,2023-10-18,1
84,Target 1,31.64,2023-10-25,1
85,Target 2,ND,2023-10-25,1
86,Extraction control,23.85,2023-10-25,1
87,Normalization factor,20.79,2023-10-25,1
88,Target 1,35.25,2023-11-01,1
89,Target 2,35.52,2023-11-01,1
90,Extraction control,26.35,2023-11-01,1
91,Normalization factor,23.65,2023-11-01,1
92,Target 1,32.48,2023-11-07,1
93,Target 2,37.12,2023-11-07,1
94,Extraction control,26.83,2023-11-07,1
95,Normalization factor,23.56,2023-11-07,1
96,Target 1,32.96,2023-11-15,1
97,Target 2,36.06,2023-11-15,1
98,Extraction control,25.44,2023-11-15,1
99,Normalization factor,22.76,2023-11-15,1
100,Target 1,34.85,2023-11-21,1
101,Target 2,35.26,2023-11-21,1
102,Extraction control,26.22,2023-11-21,1
103,Normalization factor,23.1,2023-11-21,1
104,Target 1,31.8,2023-11-29,1
105,Target 2,33.07,2023-11-29,1
106,Extraction control,25.98,2023-11-29,1
107,Normalization factor,23.67,2023-11-29,1
108,Target 1,32.09,2023-12-06,1
109,Target 2,33.41,2023-12-06,1
110,Extraction control,27.07,2023-12-06,1
111,Normalization factor,24.72,2023-12-06,1
112,Target 1,33.06,2023-12-13,1
113,Target 2,33.86,2023-12-13,1
114,Extraction control,27.97,2023-12-13,1
115,Normalization factor,25.28,2023-12-13,1
116,Target 1,33.72,2023-12-20,1
117,Target 2,35.16,2023-12-20,1
118,Extraction control,27.8,2023-12-20,1
119,Normalization factor,24.89,2023-12-20,1
120,Target 1,31.36,2023-12-27,1
121,Target 2,32.86,2023-12-27,1
122,Extraction control,27.88,2023-12-27,1
123,Normalization factor,24.47,2023-12-27,1
124,Target 1,32.07,2024-01-03,1
125,Target 2,33.19,2024-01-03,1
126,Extraction control,15.47,2024-01-03,1
127,Normalization factor,24.85,2024-01-03,1
128,Target 1,32.93,2024-01-10,1
129,Target 2,34.74,2024-01-10,1
130,Extraction control,29.1,2024-01-10,1
131,Normalization factor,25.47,2024-01-10,1
132,Target 1,ND,2024-01-17,1
133,Target 2,38.71,2024-01-17,1
134,Extraction control,29.39,2024-01-17,1
135,Normalization factor,34.82,2024-01-17,1
136,Target 1,35.47,2024-01-24,1
137,Target 2,35.45,2024-01-24,1
138,Extraction control,26.95,2024-01-24,1
139,Normalization factor,25.01,2024-01-24,1
140,Target 1,30.69,2024-01-31,1
141,Target 2,31.42,2024-01-31,1
142,Extraction control,27.2,2024-01-31,1
143,Normalization factor,24.13,2024-01-31,1
144,Target 1,32.04,2024-02-07,1
145,Target 2,33.15,2024-02-07,1
146,Extraction control,26.99,2024-02-07,1
147,Normalization factor,24.9,2024-02-07,1
148,Target 1,34.81,2024-02-14,1
149,Target 2,34.56,2024-02-14,1
150,Extraction control,28.29,2024-02-14,1
151,Normalization factor,25.91,2024-02-14,1
152,Target 1,31.67,2024-02-21,1
153,Target 2,32.26,2024-02-21,1
154,Extraction control,22.08,2024-02-21,1
155,Normalization factor,23.12,2024-02-21,1
156,Target 1,33.4,2024-02-28,1
157,Target 2,33.44,2024-02-28,1
158,Extraction control,23.97,2024-02-28,1
159,Normalization factor,24.36,2024-02-28,1
160,Target 1,35.54,2024-03-06,1
161,Target 2,35.29,2024-03-06,1
162,Extraction control,24.94,2024-03-06,1
163,Normalization factor,25.3,2024-03-06,1
164,Target 1,32.44,2024-03-13,1
165,Target 2,33.13,2024-03-13,1
166,Extraction control,23.92,2024-03-13,1
167,Normalization factor,24.24,2024-03-13,1
168,Target 1,34.45,2024-03-20,1
169,Target 2,36.09,2024-03-20,1
170,Extraction control,24.38,2024-03-20,1
171,Normalization factor,23.78,2024-03-20,1
172,Target 1,35.75,2024-03-27,1
173,Target 2,35.04,2024-03-27,1
174,Extraction control,25.85,2024-03-27,1
175,Normalization factor,24.52,2024-03-27,1
176,Target 1,ND,2024-04-03,1
177,Target 2,39.94,2024-04-03,1
178,Extraction control,25.88,2024-04-03,1
179,Normalization factor,26.16,2024-04-03,1
180,Target 1,ND,2024-04-10,1
181,Target 2,39.03,2024-04-10,1
182,Extraction control,23.96,2024-04-10,1
183,Normalization factor,25.91,2024-04-10,1
184,Target 1,ND,2024-04-17,1
185,Target 2,37.46,2024-04-17,1
186,Extraction control,23.21,2024-04-17,1
187,Normalization factor,24.38,2024-04-17,1
188,Target 1,33.54,2024-04-24,1
189,Target 2,38.25,2024-04-24,1
190,Extraction control,23.95,2024-04-24,1
191,Normalization factor,24.57,2024-04-24,1
192,Target 1,35.01,2024-04-30,1
193,Target 2,ND,2024-04-30,1
194,Extraction control,24.16,2024-04-30,1
195,Normalization factor,24.19,2024-04-30,1
196,Target 1,34.2,2024-05-08,1
197,Target 2,34.88,2024-05-08,1
198,Extraction control,23.26,2024-05-08,1
199,Normalization factor,24.19,2024-05-08,1
200,Target 1,35.65,2024-05-15,1
201,Target 2,ND,2024-05-15,1
202,Extraction control,25.23,2024-05-15,1
203,Normalization factor,24.75,2024-05-15,1
204,Target 1,ND,2024-05-22,1
205,Target 2,40.06,2024-05-22,1
206,Extraction control,26.07,2024-05-22,1
207,Normalization factor,23.89,2024-05-22,1
208,Target 1,35.09,2024-05-29,1
209,Target 2,35.41,2024-05-29,1
210,Extraction control,25.34,2024-05-29,1
211,Normalization factor,25.3,2024-05-29,1
212,Target 1,32.79,2024-06-05,1
213,Target 2,33.53,2024-06-05,1
214,Extraction control,23.94,2024-06-05,1
215,Normalization factor,24.96,2024-06-05,1
216,Target 1,33.88,2024-06-12,1
217,Target 2,36.16,2024-06-12,1
218,Extraction control,22.93,2024-06-12,1
219,Normalization factor,23.77,2024-06-12,1
220,Target 1,ND,2024-06-18,1
221,Target 2,39.26,2024-06-18,1
222,Extraction control,24.51,2024-06-18,1
223,Normalization factor,25.05,2024-06-18,1
224,Target 1,34.84,2024-06-27,1
225,Target 2,36.0,2024-06-27,1
226,Extraction control,25.55,2024-06-27,1
227,Normalization factor,23.83,2024-06-27,1
228,Target 1,37.46,2024-07-02,1
229,Target 2,37.03,2024-07-02,1
230,Extraction control,26.28,2024-07-02,1
231,Normalization factor,24.91,2024-07-02,1
232,Target 1,34.27,2024-07-10,1
233,Target 2,34.68,2024-07-10,1
234,Extraction control,25.57,2024-07-10,1
235,Normalization factor,24.72,2024-07-10,1
236,Target 1,33.74,2024-07-17,1
237,Target 2,34.74,2024-07-17,1
238,Extraction control,24.8,2024-07-17,1
239,Normalization factor,24.75,2024-07-17,1
240,Target 1,31.2,2024-07-24,1
241,Target 2,31.43,2024-07-24,1
242,Extraction control,26.04,2024-07-24,1
243,Normalization factor,23.88,2024-07-24,1
244,Target 1,31.7,2024-08-01,1
245,Target 2,33.14,2024-08-01,1
246,Extraction control,25.24,2024-08-01,1
247,Normalization factor,23.79,2024-08-01,1
248,Target 1,31.61,2024-08-07,1
249,Target 2,32.69,2024-08-07,1
250,Extraction control,26.61,2024-08-07,1
251,Normalization factor,25.26,2024-08-07,1
252,Target 1,31.2,2024-08-14,1
253,Target 2,32.22,2024-08-14,1
254,Extraction control,26.8,2024-08-14,1
255,Normalization factor,23.64,2024-08-14,1
256,Target 1,34.44,2024-08-21,1
257,Target 2,34.99,2024-08-21,1
258,Extraction control,25.87,2024-08-21,1
259,Normalization factor,23.57,2024-08-21,1
260,Target 1,31.38,2024-08-28,1
261,Target 2,32.67,2024-08-28,1
262,Extraction control,26.19,2024-08-28,1
263,Normalization factor,24.51,2024-08-28,1
264,Target 1,31.29,2024-09-04,1
265,Target 2,32.3,2024-09-04,1
266,Extraction control,24.64,2024-09-04,1
267,Normalization factor,23.74,2024-09-04,1
268,Target 1,33.17,2024-09-11,1
269,Target 2,32.93,2024-09-11,1
270,Extraction control,24.48,2024-09-11,1
271,Normalization factor,23.97,2024-09-11,1
272,Target 1,32.37,2024-09-18,1
273,Target 2,34.64,2024-09-18,1
274,Extraction control,24.68,2024-09-18,1
275,Normalization factor,25.19,2024-09-18,1
276,Target 1,32.8,2024-09-25,1
277,Target 2,35.48,2024-09-25,1
278,Extraction control,25.6,2024-09-25,1
279,Normalization factor,27.01,2024-09-25,1
280,Target 1,31.87,2024-10-02,1
281,Target 2,32.95,2024-10-02,1
282,Extraction control,24.12,2024-10-02,1
283,Normalization factor,25.04,2024-10-02,1
284,Target 1,NoSample,2024-10-09,1
285,Target 2,NoSample,2024-10-09,1
286,Extraction control,NoSample,2024-10-09,1
287,Normalization factor,NoSample,2024-10-09,1
288,Target 1,34.73,2024-10-16,1
289,Target 2,39.85,2024-10-16,1
290,Extraction control,25.36,2024-10-16,1
291,Normalization factor,25.45,2024-10-16,1
292,Target 1,ND,2024-10-23,1
293,Target 2,40.69,2024-10-23,1
294,Extraction control,24.39,2024-10-23,1
295,Normalization factor,24.64,2024-10-23,1
296,Target 1,36.68,2024-10-30,1
297,Target 2,39.2,2024-10-30,1
298,Extraction control,24.97,2024-10-30,1
299,Normalization factor,25.17,2024-10-30,1
300,Target 1,32.95,2024-11-06,1
301,Target 2,34.83,2024-11-06,1
302,Extraction control,25.32,2024-11-06,1
303,Normalization factor,26.44,2024-11-06,1
304,Target 1,34.66,2024-11-13,1
305,Target 2,36.27,2024-11-13,1
306,Extraction control,25.11,2024-11-13,1
307,Normalization factor,24.94,2024-11-13,1
308,Target 1,ND,2024-11-20,1
309,Target 2,ND,2024-11-20,1
310,Extraction control,24.33,2024-11-20,1
311,Normalization factor,25.71,2024-11-20,1
312,Target 1,31.59,2024-11-26,1
313,Target 2,32.91,2024-11-26,1
314,Extraction control,24.48,2024-11-26,1
315,Normalization factor,24.22,2024-11-26,1
316,Target 1,33.8,2024-12-04,1
317,Target 2,34.22,2024-12-04,1
318,Extraction control,24.36,2024-12-04,1
319,Normalization factor,24.48,2024-12-04,1
320,Target 1,36.13,2023-05-31,2
321,Target 2,38.44,2023-05-31,2
322,Extraction control,27.69,2023-05-31,2
323,Normalization factor,21.24,2023-05-31,2
324,Target 1,33.86,2023-06-07,2
325,Target 2,34.17,2023-06-07,2
326,Extraction control,27.34,2023-06-07,2
327,Normalization factor,23.92,2023-06-07,2
328,Target 1,31.18,2023-06-14,2
329,Target 2,32.08,2023-06-14,2
330,Extraction control,27.91,2023-06-14,2
331,Normalization factor,23.41,2023-06-14,2
332,Target 1,37.05,2023-06-21,2
333,Target 2,36.75,2023-06-21,2
334,Extraction control,28.93,2023-06-21,2
335,Normalization factor,23.46,2023-06-21,2
336,Target 1,ND,2023-06-28,2
337,Target 2,36.71,2023-06-28,2
338,Extraction control,27.09,2023-06-28,2
339,Normalization factor,25.17,2023-06-28,2
340,Target 1,37.47,2023-07-06,2
341,Target 2,ND,2023-07-06,2
342,Extraction control,29.13,2023-07-06,2
343,Normalization factor,24.69,2023-07-06,2
344,Target 1,ND,2023-07-12,2
345,Target 2,ND,2023-07-12,2
346,Extraction control,27.48,2023-07-12,2
347,Normalization factor,23.2,2023-07-12,2
348,Target 1,33.51,2023-07-19,2
349,Target 2,33.66,2023-07-19,2
350,Extraction control,26.63,2023-07-19,2
351,Normalization factor,22.98,2023-07-19,2
352,Target 1,36.12,2023-07-26,2
353,Target 2,36.14,2023-07-26,2
354,Extraction control,29.01,2023-07-26,2
355,Normalization factor,26.5,2023-07-26,2
356,Target 1,34.41,2023-08-02,2
357,Target 2,37.65,2023-08-02,2
358,Extraction control,30.06,2023-08-02,2
359,Normalization factor,26.42,2023-08-02,2
360,Target 1,38.18,2023-08-09,2
361,Target 2,ND,2023-08-09,2
362,Extraction control,27.82,2023-08-09,2
363,Normalization factor,23.84,2023-08-09,2
364,Target 1,32.86,2023-08-16,2
365,Target 2,35.3,2023-08-16,2
366,Extraction control,27.29,2023-08-16,2
367,Normalization factor,25.65,2023-08-16,2
368,Target 1,37.58,2023-08-23,2
369,Target 2,ND,2023-08-23,2
370,Extraction control,29.74,2023-08-23,2
371,Normalization factor,24.13,2023-08-23,2
372,Target 1,ND,2023-08-30,2
373,Target 2,ND,2023-08-30,2
374,Extraction control,28.64,2023-08-30,2
375,Normalization factor,23.15,2023-08-30,2
376,Target 1,35.66,2023-09-06,2
377,Target 2,39.13,2023-09-06,2
378,Extraction control,28.45,2023-09-06,2
379,Normalization factor,23.95,2023-09-06,2
380,Target 1,ND,2023-09-13,2
381,Target 2,ND,2023-09-13,2
382,Extraction control,30.42,2023-09-13,2
383,Normalization factor,26.25,2023-09-13,2
384,Target 1,34.03,2023-09-20,2
385,Target 2,35.97,2023-09-20,2
386,Extraction control,27.86,2023-09-20,2
387,Normalization factor,25.34,2023-09-20,2
388,Target 1,34.35,2023-09-27,2
389,Target 2,40.04,2023-09-27,2
390,Extraction control,27.18,2023-09-27,2
391,Normalization factor,23.65,2023-09-27,2
392,Target 1,31.82,2023-10-04,2
393,Target 2,33.98,2023-10-04,2
394,Extraction control,27.5,2023-10-04,2
395,Normalization factor,23.32,2023-10-04,2
396,Target 1,37.72,2023-10-11,2
397,Target 2,39.46,2023-10-11,2
398,Extraction control,25.23,2023-10-11,2
399,Normalization factor,23.26,2023-10-11,2
400,Target 1,36.08,2023-10-18,2
401,Target 2,38.4,2023-10-18,2
402,Extraction control,26.27,2023-10-18,2
403,Normalization factor,23.42,2023-10-18,2
404,Target 1,29.77,2023-10-25,2
405,Target 2,31.22,2023-10-25,2
406,Extraction control,24.23,2023-10-25,2
407,Normalization factor,20.23,2023-10-25,2
408,Target 1,35.38,2023-11-01,2
409,Target 2,36.74,2023-11-01,2
410,Extraction control,26.62,2023-11-01,2
411,Normalization factor,24.19,2023-11-01,2
412,Target 1,33.08,2023-11-07,2
413,Target 2,38.77,2023-11-07,2
414,Extraction control,26.91,2023-11-07,2
415,Normalization factor,23.59,2023-11-07,2
416,Target 1,36.14,2023-11-15,2
417,Target 2,37.2,2023-11-15,2
418,Extraction control,25.53,2023-11-15,2
419,Normalization factor,23.28,2023-11-15,2
420,Target 1,35.6,2023-11-21,2
421,Target 2,36.16,2023-11-21,2
422,Extraction control,25.73,2023-11-21,2
423,Normalization factor,23.21,2023-11-21,2
424,Target 1,33.12,2023-11-29,2
425,Target 2,34.19,2023-11-29,2
426,Extraction control,26.18,2023-11-29,2
427,Normalization factor,24.4,2023-11-29,2
428,Target 1,34.41,2023-12-06,2
429,Target 2,36.63,2023-12-06,2
430,Extraction control,27.52,2023-12-06,2
431,Normalization factor,24.59,2023-12-06,2
432,Target 1,32.77,2023-12-13,2
433,Target 2,34.2,2023-12-13,2
434,Extraction control,27.81,2023-12-13,2
435,Normalization factor,24.52,2023-12-13,2
436,Target 1,33.77,2023-12-20,2
437,Target 2,35.65,2023-12-20,2
438,Extraction control,27.64,2023-12-20,2
439,Normalization factor,25.32,2023-12-20,2
440,Target 1,32.26,2023-12-27,2
441,Target 2,32.99,2023-12-27,2
442,Extraction control,28.34,2023-12-27,2
443,Normalization factor,24.41,2023-12-27,2
444,Target 1,33.49,2024-01-03,2
445,Target 2,34.45,2024-01-03,2
446,Extraction control,26.61,2024-01-03,2
447,Normalization factor,25.04,2024-01-03,2
448,Target 1,35.1,2024-01-10,2
449,Target 2,37.89,2024-01-10,2
450,Extraction control,29.0,2024-01-10,2
451,Normalization factor,27.84,2024-01-10,2
452,Target 1,35.38,2024-01-17,2
453,Target 2,38.12,2024-01-17,2
454,Extraction control,29.14,2024-01-17,2
455,Normalization factor,28.71,2024-01-17,2
456,Target 1,37.56,2024-01-24,2
457,Target 2,37.59,2024-01-24,2
458,Extraction control,26.94,2024-01-24,2
459,Normalization factor,24.42,2024-01-24,2
460,Target 1,32.22,2024-01-31,2
461,Target 2,32.61,2024-01-31,2
462,Extraction control,27.24,2024-01-31,2
463,Normalization factor,24.66,2024-01-31,2
464,Target 1,33.35,2024-02-07,2
465,Target 2,33.49,2024-02-07,2
466,Extraction control,26.94,2024-02-07,2
467,Normalization factor,25.01,2024-02-07,2
468,Target 1,33.2,2024-02-14,2
469,Target 2,34.3,2024-02-14,2
470,Extraction control,27.8,2024-02-14,2
471,Normalization factor,25.77,2024-02-14,2
472,Target 1,34.21,2024-02-21,2
473,Target 2,36.1,2024-02-21,2
474,Extraction control,21.27,2024-02-21,2
475,Normalization factor,23.29,2024-02-21,2
476,Target 1,34.25,2024-02-28,2
